,sample,201540_at
0,GSM158713.CEL.gz,9.2715643241773
1,GSM158724.CEL.gz,10.1883055629006
2,GSM158726.CEL.gz,9.92639674868648
3,GSM158739.CEL.gz,9.37772481705917
4,GSM158762.CEL.gz,9.6953565685448
5,GSM158767.CEL.gz,8.44978402252665
6,GSM158768.CEL.gz,9.9439091132874
7,GSM158769.CEL.gz,10.8698350615059
8,GSM158770.CEL.gz,9.39618493574205
9,GSM158779.CEL.gz,9.39982123319279
10,GSM158780.CEL.gz,10.3647060152822
11,GSM158783.CEL.gz,10.0959736735091
12,GSM158785.CEL.gz,10.7672160474458
13,GSM158789.CEL.gz,12.1904066779313
14,GSM158793.CEL.gz,8.01141364368345
15,GSM158796.CEL.gz,10.0787314335209
16,GSM158797.CEL.gz,9.04716395982743
17,GSM158798.CEL.gz,10.4797151107247
18,GSM158805.CEL.gz,9.7993893789175
19,GSM158806.CEL.gz,8.78993243927824
20,GSM158809.CEL.gz,10.0839707386582
21,GSM158821.CEL.gz,9.23454280151582
22,GSM158824.CEL.gz,9.14967295342634
23,GSM158835.CEL.gz,10.9724262594244
24,GSM158843.CEL.gz,7.93123802415762
25,GSM158854.CEL.gz,10.8097126121715
26,GSM158870.CEL.gz,10.0522846122818
27,GSM158876.CEL.gz,9.36004963250855
28,GSM158883.CEL.gz,8.80067839393479
29,GSM158886.CEL.gz,10.1200268469933
30,GSM158892.CEL.gz,8.79372375344703
31,GSM158894.CEL.gz,6.86761267073085
32,GSM158895.CEL.gz,7.44938822428665
33,GSM158898.CEL.gz,8.54168071704558
34,GSM158917.CEL.gz,8.66032268899924
35,GSM158929.CEL.gz,9.10952667574592
36,GSM158932.CEL.gz,9.11602795131758
37,GSM158940.CEL.gz,8.93991148900282
38,GSM158941.CEL.gz,11.5584515118966
39,GSM158958.CEL.gz,10.8063944524669
40,GSM158961.CEL.gz,10.3300354564389
41,GSM158963.CEL.gz,10.5297312409513
42,GSM158971.CEL.gz,8.90664935684844
43,GSM158974.CEL.gz,7.57320543542003
44,GSM158976.CEL.gz,7.84309116458412
45,GSM158986.CEL.gz,8.35196018454325
46,GSM158995.CEL.gz,9.7683379181278
47,GSM159010.CEL.gz,11.7397115931856
48,GSM159022.CEL.gz,10.8806611322275
49,GSM159023.CEL.gz,10.6318208147647
50,GSM159027.CEL.gz,10.0548563743476
51,GSM159036.CEL.gz,10.8298885417501
52,GSM159041.CEL.gz,11.492946567846
53,GSM159048.CEL.gz,9.58819210786373
54,GSM159053.CEL.gz,7.41072490725786
55,GSM159055.CEL.gz,8.30123068353303
56,GSM159089.CEL.gz,9.94549893137572
57,GSM159096.CEL.gz,8.96672144808849
58,GSM159098.CEL.gz,8.31250158260138
59,GSM159100.CEL.gz,10.9380941485692
60,GSM159106.CEL.gz,10.1186362099267
61,GSM159112.CEL.gz,10.049236491079
62,GSM159125.CEL.gz,8.9929181036797
63,GSM159132.CEL.gz,9.03757016181902
64,GSM159148.CEL.gz,10.0303131967711
65,GSM159153.CEL.gz,8.46614295071464
66,GSM159157.CEL.gz,9.41509056788176
67,GSM159158.CEL.gz,11.1448195576167
68,GSM158711.CEL.gz,7.52997406130294
69,GSM158717.CEL.gz,7.57981757114142
70,GSM158727.CEL.gz,7.83753976915824
71,GSM158743.CEL.gz,11.1864347815945
72,GSM158777.CEL.gz,8.04920337663441
73,GSM158778.CEL.gz,7.59273153089709
74,GSM158794.CEL.gz,6.73383185360809
75,GSM158800.CEL.gz,8.94462849193373
76,GSM158819.CEL.gz,7.02047893036979
77,GSM158823.CEL.gz,8.23509250967624
78,GSM158825.CEL.gz,8.42162759465747
79,GSM158827.CEL.gz,8.63645606901007
80,GSM158829.CEL.gz,9.44993312077681
81,GSM158840.CEL.gz,9.04482247980584
82,GSM158858.CEL.gz,7.61825828691281
83,GSM158865.CEL.gz,8.30920999197903
84,GSM158889.CEL.gz,8.00906108068034
85,GSM158903.CEL.gz,7.51845971555545
86,GSM158909.CEL.gz,8.45343831548941
87,GSM158916.CEL.gz,7.8093833294218
88,GSM158955.CEL.gz,8.20428337603099
89,GSM158978.CEL.gz,7.83087366667188
90,GSM158981.CEL.gz,7.56022140788714
91,GSM158987.CEL.gz,8.24147322225515
92,GSM159034.CEL.gz,7.99012006027571
93,GSM159035.CEL.gz,8.32608741217281
94,GSM159078.CEL.gz,9.20548364192947
95,GSM159090.CEL.gz,7.92316922105926
96,GSM159094.CEL.gz,10.2779348050551
