sample,X203523_at
GSM158718.CEL.gz,0.292273415524218
GSM158723.CEL.gz,0.37489942955107
GSM158736.CEL.gz,0.413759975586514
GSM158737.CEL.gz,0.412096697632151
GSM158740.CEL.gz,0.388489410325282
GSM158744.CEL.gz,0.313198122364778
GSM158751.CEL.gz,0.369125440073427
GSM158757.CEL.gz,0.307939218700877
GSM158758.CEL.gz,0.331623585692673
GSM158759.CEL.gz,0.348338722708249
GSM158761.CEL.gz,0.399378170213663
GSM158763.CEL.gz,0.333020470412027
GSM158764.CEL.gz,0.416725355434505
GSM158788.CEL.gz,0.351048207742158
GSM158792.CEL.gz,0.395592650657618
GSM158804.CEL.gz,0.333321483300582
GSM158807.CEL.gz,0.417173660253252
GSM158818.CEL.gz,0.389528180146294
GSM158822.CEL.gz,0.360727981845888
GSM158826.CEL.gz,0.40750140356952
GSM158828.CEL.gz,0.262326863793325
GSM158831.CEL.gz,0.313119145207677
GSM158846.CEL.gz,0.417414543181852
GSM158850.CEL.gz,0.332644794952145
GSM158857.CEL.gz,0.369567962452133
GSM158862.CEL.gz,0.399718536373922
GSM158866.CEL.gz,0.367688360019045
GSM158867.CEL.gz,0.353818915474794
GSM158868.CEL.gz,0.355855217780356
GSM158869.CEL.gz,0.38074073468405
GSM158879.CEL.gz,0.354978815194756
GSM158880.CEL.gz,0.327756079084208
GSM158882.CEL.gz,0.327931948688683
GSM158884.CEL.gz,0.370978077639974
GSM158891.CEL.gz,0.326587574801057
GSM158901.CEL.gz,0.387687063519803
GSM158910.CEL.gz,0.390418334934101
GSM158924.CEL.gz,0.373925710983584
GSM158928.CEL.gz,0.39149985366452
GSM158930.CEL.gz,0.346643541491508
GSM158935.CEL.gz,0.397603196949375
GSM158936.CEL.gz,0.365902529817171
GSM158937.CEL.gz,0.283812592766804
GSM158939.CEL.gz,0.379819307397576
GSM158943.CEL.gz,0.281058940691616
GSM158949.CEL.gz,0.361974464681417
GSM158956.CEL.gz,0.308985697188894
GSM158964.CEL.gz,0.374406607275297
GSM158979.CEL.gz,0.390941724964501
GSM158983.CEL.gz,0.406358243268172
GSM158994.CEL.gz,0.360904605290465
GSM159003.CEL.gz,0.369437795260952
GSM159007.CEL.gz,0.390072430812649
GSM159011.CEL.gz,0.362926708149526
GSM159016.CEL.gz,0.385217465717132
GSM159018.CEL.gz,0.418265795044502
GSM159019.CEL.gz,0.345950220588852
GSM159024.CEL.gz,0.39553583377564
GSM159028.CEL.gz,0.381056950363493
GSM159033.CEL.gz,0.336592498492425
GSM159040.CEL.gz,0.384734355505077
GSM159045.CEL.gz,0.339589131497915
GSM159051.CEL.gz,0.265703637693479
GSM159052.CEL.gz,0.34538506361331
GSM159056.CEL.gz,0.334179429538438
GSM159060.CEL.gz,0.299192671182666
GSM159062.CEL.gz,0.362175525321621
GSM159063.CEL.gz,0.345217998816595
