,226545_at
GSM158760.CEL.gz,7.31684837796078
GSM158776.CEL.gz,6.57983437542189
GSM158777.CEL.gz,5.79603159804285
GSM158778.CEL.gz,6.40352413135598
GSM158794.CEL.gz,5.6827353745376
GSM158800.CEL.gz,5.73067995200366
GSM158819.CEL.gz,5.78549718754205
GSM158823.CEL.gz,5.96760356790632
GSM158825.CEL.gz,5.8510648013661
GSM158827.CEL.gz,6.33255548673065
GSM158829.CEL.gz,7.89064347078713
GSM158840.CEL.gz,5.46586095306573
GSM158858.CEL.gz,5.82396359899571
GSM158865.CEL.gz,5.89257654783722
GSM158889.CEL.gz,5.93660002547043
GSM158897.CEL.gz,6.00065519717174
GSM158903.CEL.gz,5.8371133300645
GSM158907.CEL.gz,5.79181223584112
GSM158909.CEL.gz,6.14781769614185
GSM158916.CEL.gz,5.8874285121914
GSM158926.CEL.gz,8.34308945821051
GSM158955.CEL.gz,5.89957006436719
GSM158978.CEL.gz,5.81583429323029
GSM158981.CEL.gz,5.45015335999477
GSM158987.CEL.gz,5.67182224356454
GSM159002.CEL.gz,6.79294030872148
GSM159034.CEL.gz,6.18971136735589
GSM159035.CEL.gz,6.40647004187672
GSM159078.CEL.gz,5.73394215831508
GSM159090.CEL.gz,5.74849528169392
GSM159091.CEL.gz,5.83885893803379
GSM159093.CEL.gz,5.86322135104351
GSM159094.CEL.gz,8.37687695861011
GSM159101.CEL.gz,6.62014183966847
GSM158721.CEL.gz,5.99431005160887
GSM158722.CEL.gz,6.22616244744066
GSM158756.CEL.gz,6.12117815067069
GSM158781.CEL.gz,5.80835719677948
GSM158791.CEL.gz,5.86045301283023
GSM158811.CEL.gz,5.57242064378332
GSM158812.CEL.gz,5.65593678630166
GSM158814.CEL.gz,6.50925959383531
GSM158820.CEL.gz,8.32176941723514
GSM158830.CEL.gz,7.7523237048641
GSM158839.CEL.gz,7.9709455684441
GSM158859.CEL.gz,5.24124333934023
GSM158860.CEL.gz,6.42328640069232
GSM158863.CEL.gz,6.19936304230035
GSM158873.CEL.gz,5.98601486145651
GSM158877.CEL.gz,6.35648696249321
GSM158878.CEL.gz,5.7468876205199
GSM158885.CEL.gz,5.54220617441169
GSM158890.CEL.gz,5.56079187059899
GSM158899.CEL.gz,6.37386212255826
GSM158905.CEL.gz,9.59269313688191
GSM158911.CEL.gz,5.50701827950237
GSM158912.CEL.gz,6.27077371901491
GSM158914.CEL.gz,6.49399734127437
GSM158918.CEL.gz,8.53770334221695
GSM158921.CEL.gz,5.4238682689683
GSM158925.CEL.gz,5.87214900081988
GSM158966.CEL.gz,5.80535571033428
GSM158969.CEL.gz,5.60176572176213
GSM158970.CEL.gz,5.48256299543425
GSM159012.CEL.gz,5.78029064596209
GSM159031.CEL.gz,5.65801663505018
GSM159032.CEL.gz,5.55135867230566
GSM159081.CEL.gz,6.22121941431421
GSM159084.CEL.gz,9.00426079520833
GSM159105.CEL.gz,6.12684115218731
GSM159143.CEL.gz,5.82479135246256
GSM159147.CEL.gz,5.63569816090897
