,X235046_at
0,5.96520061069387
1,5.88140702305267
2,7.39695620418812
3,4.55677424584185
4,7.29261666322655
5,8.32772920743763
6,4.77730268197866
7,5.61742118991178
8,7.73724677602913
9,9.08703639036279
10,9.7267601818087
11,6.87748904487241
12,5.85072842927882
13,8.59529411098295
14,8.58965332592085
15,5.07974488163076
16,6.01877178683833
17,6.97187302537629
18,6.8733756638232
19,5.7033837540342
20,7.47220710725803
21,5.62924121269011
22,8.52341884896172
23,9.05150976008665
24,7.83670420971728
25,7.32855270110948
26,6.34279244792312
27,5.6843895059999
28,7.77924009864982
29,9.51823997098822
30,8.63608515430146
31,8.01931253054584
32,5.49593948934886
33,5.92482698456273
34,5.16666696677496
35,9.86659805842977
36,9.29644846982497
37,6.87696732514445
38,7.57829282751423
39,7.86339104644728
40,6.39009522136319
41,7.15268885348502
42,7.089834823628
43,8.76211784518586
44,5.42366596996037
45,7.83316036182189
46,5.07165640416184
47,9.57901705276742
48,8.67159269372962
49,6.1171138621185
50,5.5615959211284
51,10.4891511719755
52,6.17347794537318
53,6.51625115272867
54,7.59051933855118
55,6.49315811236824
56,9.65327044456133
57,6.66985162072854
58,8.26172649059882
59,5.77566937189408
60,6.03165971115999
61,10.4924356604454
62,5.36412405152169
63,5.51006880375388
64,7.12330403179925
65,6.49279793580016
66,10.070612996061
67,7.03579760563997
68,7.31467949943963
69,6.46734491848313
70,6.48989349697314
71,5.25458230911098
72,10.2589728140029
73,6.60211430883159
74,9.0663977297204
75,7.56095863915268
76,7.892767698318
77,6.83065123970705
78,5.26289741105976
79,5.98103802402409
80,7.01281496342265
81,5.91708413140829
82,7.49829465614898
83,10.3939047910485
84,5.1125968864337
85,7.56066114485913
86,8.02362938514906
87,6.67155571268224
88,7.83766489932669
89,7.95709333784056
90,7.69820166604005
91,4.8712737318629
92,5.11566849995752
93,7.95665037466373
94,5.24625939285756
95,5.53929756814033
96,7.59197982064495
97,5.64375496612259
98,5.703992201497
99,5.56799546325555
100,6.282622995211
101,5.65781723739006
102,5.47641250522191
103,5.05431856400434
104,5.66901118024286
105,7.37265645941284
106,5.36431825548426
107,5.17980360192859
108,5.64905306562089
109,5.27884230384145
110,5.58636733303915
111,5.94178066394845
112,5.05324648786731
113,5.56654587073945
114,6.13771749854748
115,5.50051158404118
116,6.79881232842992
117,5.21863273534993
118,5.14968504177875
119,5.89380103625919
120,5.48439154116527
121,5.36226959953887
122,5.46496391890172
123,5.33821807720246
124,5.78018797883905
125,5.45190549781816
126,5.49994706730464
127,4.84543837510899
128,5.11488020266826
129,4.99963064313499
130,5.2461617352114
131,5.45788550927168
132,5.12384536735489
133,6.95921947474689
134,5.51763767892947
135,5.06201978445768
136,6.15293677409624
137,6.32176619124632
138,5.12659537263513
139,5.31080786205646
140,5.36967001042781
141,6.63120985532495
142,5.13050455935447
143,5.88566450464552
144,5.45272356092208
145,5.74084804276562
146,5.11667562674843
147,5.39859536635311
148,6.00331718344283
149,5.63377993868083
150,5.47742025489666
151,5.99335832322106
152,5.77351075193824
153,5.93500756576651
154,4.87962821800119
155,5.17480105350486
156,5.64443778521751
157,8.81272089949251
158,5.64755674785648
159,5.56161820674188
160,4.85755408415449
161,5.06855978169992
162,5.47362743565283
163,5.49870559008281
