"","1553808_a_at","1554679_a_at","1556395_at","1559477_s_at","201110_s_at","201427_s_at","201669_s_at","202118_s_at","202119_s_at","202760_s_at","202887_s_at","202890_at","203372_s_at","203373_at","203523_at","203680_at","203741_s_at","203948_s_at","203949_at","204069_at","204082_at","204885_s_at","205237_at","205453_at","205528_s_at","205529_s_at","205608_s_at","205609_at","205612_at","205767_at","205844_at","205898_at","206135_at","206310_at","206471_s_at","206478_at","206494_s_at","206622_at","206871_at","206940_s_at","208029_s_at","208791_at","208792_s_at","209392_at","209555_s_at","209960_at","210145_at","210755_at","210997_at","211341_at","211597_s_at","212070_at","212192_at","212314_at","212386_at","213056_at","213110_s_at","213150_at","213241_at","213844_at","214039_s_at","214146_s_at","215646_s_at","217800_s_at","217853_at","217963_s_at","217975_at","219890_at","222717_at","223044_at","223204_at","224596_at","225512_at","226545_at","226694_at","227236_at","227856_at","228365_at","228372_at","228708_at","228766_at","228827_at","228904_at","235046_at","235521_at","236738_at","238778_at","risk","Status","Time","grup"
"GSM158713.CEL.gz",8.93306022120045,10.6717296545659,4.83418397898521,9.90117447972719,8.25486184250289,12.4984395208731,10.1762441385791,10.0584362402222,10.3430445579199,6.80389899287115,10.1236059819415,10.6204763968434,10.0125836711855,10.9173298738624,10.66846878322,9.87938858993329,10.1011527925112,10.5656192378198,11.1540724010813,10.4021601517712,11.7683198061463,6.25265615964484,11.4339447902863,11.102749701002,4.92371686508104,5.08296039128088,11.3011291630162,11.7427614969539,8.15586887407797,6.10299507240859,10.5464414595412,10.3441491947426,4.90120191724475,12.2383795265343,8.58499159383601,11.2917471308011,10.0124486437988,7.8744496446493,10.5763832700741,5.15645841826362,11.4654903010052,12.0040431861532,11.8488342908396,7.0106116383913,10.1426004742094,5.87683709322082,8.31209153492642,5.01519302174797,5.28598624938524,5.87091784243414,8.01858378459978,12.1481444568064,9.99449817431058,10.6258498140963,11.1362499510919,8.39131280579669,10.4013582120602,11.0031388940118,10.0197788028886,10.7369495599179,12.3321954594395,12.3805868434989,12.0495828265879,11.3632061205231,10.5052883638518,11.7739019258756,10.08605874407,6.38291908019194,8.90390563693553,11.6034439596689,9.88913402964095,10.8682415432878,7.29724864760259,6.98556674956753,6.38540697040436,7.73290228996089,9.07029257169248,8.99359728108369,10.4026387414275,11.3726331079146,11.4635772952792,5.62851144394587,11.9498567913014,8.32856176665173,9.7840073309512,9.5722888241718,7.32104789511652,0,1,"218","IP"
"GSM158724.CEL.gz",10.0742431857042,11.1877182034931,5.40209872905559,9.63248563830617,4.98224888869583,11.0599511208704,8.74959838270382,9.37917608811539,9.73319867036518,8.57328401600783,9.37076085368724,9.61078021656237,10.8298836247982,11.1961386170789,10.6297860405795,8.41594459183816,9.11328280385762,11.2578129033025,11.5232389957342,10.3060895497178,11.3637598898118,6.13579226241978,11.406130077496,10.6040120220881,5.61645407182678,4.88452241433356,10.7075141324238,10.4644659099819,7.02183715884296,8.19443637533114,9.79173926603365,10.2803630380862,5.79755004109287,12.902332472159,9.01026587088466,11.0883444840161,9.24652398402671,8.0612764378307,9.73667978530255,5.09760325687056,11.8250238782577,11.6688443472846,11.5131041232446,7.66774300084125,10.0166564935468,6.29667122790231,8.59337877667281,5.40807265371506,5.29154559967545,6.51672923798964,9.78286191139198,12.061808262419,8.68334649111865,9.94843742227072,11.0753454672158,7.16762839362565,8.38499263970844,10.701651568503,9.87574064417889,11.2443595286356,12.4850317867407,8.92403820730483,10.9867884654369,10.501234764636,10.0409844447992,11.5890309381963,9.42254658079586,5.72261110680592,6.80171841872097,10.9911602233648,7.87411851256769,10.916326843849,7.58197515542996,8.55504506139487,8.40781950039443,8.85463563419304,8.61517566988999,7.81416766040051,10.4286994303743,10.7975750851453,9.97184212751844,5.91359073060274,11.0352863710083,7.41223109136918,9.55291033117732,8.33744750777746,6.26114719156478,0,1,"302","IP"
"GSM158726.CEL.gz",5.76509099910733,8.04961845606349,4.67623870717092,9.44956463120151,4.96541452973988,11.0547951277141,6.39944343478122,8.79544773044617,9.54099719152009,10.8605691197215,10.4556414306869,10.1697643148549,5.9688774540011,6.7440246348284,9.19950998877759,5.07276587410474,9.32654395055722,13.2616739157546,13.2790524230831,9.63563861745613,11.0909962891608,6.57172670589804,7.68326894039767,8.75811677546976,5.49132294334037,4.80247604516521,8.74009604629546,8.81484160331921,5.01815753497443,10.6171376450698,5.56899871014098,5.42658118525356,5.90343227307433,8.00848133035113,6.19643523992242,10.4044428195068,5.55421261379929,8.3194194529949,12.57631676805,5.11501358208043,8.78593415563647,12.0209962697992,12.0744180373487,6.24111303788832,5.02367999972705,9.62459027807837,6.94884047547386,10.4270770802671,9.79338619573566,6.5724553601321,12.6265013443059,9.61165473737286,5.16062919684982,11.220793683168,11.1897406976785,8.53870445176158,7.70446979518863,10.5092774173814,7.76703372168313,8.67269323990439,9.37570252295836,5.93064934654897,6.53463390357487,10.7036047605266,9.87131617307544,10.906795244909,9.51791949257447,5.42739923813936,6.8249648858321,10.91096864004,5.73456147614117,10.5209900481865,6.157601353686,8.02781882502066,10.5498258481748,6.35117223831883,8.41281655767379,7.98025178327494,5.91221847371767,10.311748649478,5.9540194372944,6.00784969436859,7.87842145597508,5.51081080398268,8.48272931750198,7.82715636550632,5.52940486667976,0,1,"13","IP"
"GSM158729.CEL.gz",9.83770166470326,5.99775419344936,4.45842739788685,9.641427326782,4.96714170463865,5.90591521952475,10.7749755301104,10.2943445465619,10.5004394613032,10.1950457981511,11.207530084756,9.34821389099312,5.72142808668668,5.88882932507692,12.7151840686824,10.7600737177199,10.8366276445364,11.8010025129157,12.2389628442592,9.72332335294199,11.787317621055,6.07367253901432,11.6922007768857,10.4552871126712,4.98725346695299,4.78636294615024,7.99690558738947,7.99628210219394,5.30894213020493,11.7897252946063,8.06931038803942,12.1810024700653,5.26625920681283,11.2229860606011,7.31760748726097,6.99658831666534,8.0732040782018,8.12106620728004,10.1656281416552,5.15708150609595,7.04598834656185,8.99347656529393,8.80639422036701,9.90811209011015,11.3110687594191,7.63252128942147,7.42395478996768,6.57348037417961,7.00994932731274,6.20342927310881,8.16147635509559,8.69703907254521,11.2936835432566,9.61134542090543,8.98629900194213,6.84307138702278,5.31358220450957,11.3517129934588,8.9682943646689,10.9597773044236,6.14011422985129,10.3604472090325,12.3889701141431,11.4608876760724,10.8215190869151,8.09627542476443,5.91124760435159,7.08962794056862,7.15894846830501,9.2411347105197,10.1993883101342,10.8438985703715,8.05398368289405,6.28220486327595,10.2822656350474,7.70810528177635,7.97493808436221,9.28702841799494,6.16247003500033,9.80614021711298,12.1102876311052,5.56312880937024,11.5213846196178,4.91684633992077,9.76671340265793,5.77659652661225,9.49123174164774,0,1,"301","IP"
"GSM158739.CEL.gz",8.20698360117884,7.73649770078545,4.59758336735319,9.48289397631985,10.8373558341339,7.41398164663676,12.5032961240285,10.0089403080296,10.0612058259643,9.17663203545586,9.56801898217747,8.92976031540818,7.9171981015627,9.05269520124458,10.358539371802,10.4005749261382,10.4949653999608,13.4320765374878,13.6322885161375,9.67838465959816,11.0078944404904,5.9337749297158,12.347447925747,10.193742931091,4.72823021421845,4.95093548766393,8.76697362198658,9.052159511907,6.05154346775815,10.9330697310672,10.2127422895697,10.4585257084425,5.17278746475764,11.9575192209781,8.30821206304108,9.14261434245525,7.16399646560795,8.1637460132542,9.62588213197919,5.12377513007277,8.94253347357137,9.36252355528056,9.22311111569676,8.06689545782105,11.6073450479326,5.83083210310783,8.08354904733807,5.40322363867613,5.28292012716749,5.65771047488113,7.24185718541398,10.4411245572736,11.4780621062043,9.71653503044468,10.6704965469655,6.27818016495685,8.18301998724793,10.8985970235352,9.92980850527902,11.2310593113316,9.62889777218538,5.90214638006582,13.7785669620338,10.9214181566267,10.4507096850451,9.36089244698012,8.07007507046643,5.43812312195201,6.15617892192327,9.93720425255138,11.0689566456425,12.2218406697546,9.11072175763676,7.837819556328,9.32800392222884,9.35492424437827,8.80623032993247,9.11521304377386,7.99862901660862,10.0631558175126,11.8222425316757,5.46378334839287,11.1001576560203,6.14657040373796,9.69169388553459,8.18220107722482,9.42902781535204,0,1,"248","IP"
"GSM158754.CEL.gz",9.02421342509873,7.41908292556885,4.48064454120219,7.28225052986548,5.17893148200272,12.1592107188288,6.67076161000236,9.8820907553993,9.66184746787964,8.26554363959754,10.8456807605461,9.92815699698249,7.99720201099106,9.15458221842012,11.0403438898476,8.36299331946682,8.94987056096869,13.5943014820539,13.4246526898128,6.45691996345674,9.22719016145812,6.43022428476085,7.77384585918295,8.14448050000682,5.19936811617175,5.06687087167718,10.3465265179179,10.3450746816084,5.8322154494289,11.5433399729324,6.56691839469346,8.53891970866606,5.75705230966292,10.200184483099,7.839965601932,11.7434003271993,7.06347085015807,8.93800285595949,10.5277936721008,10.945285701482,8.64316987155509,8.94802684140328,8.85158457280787,5.99740180903085,8.45311475263004,7.98410821084945,6.64792387841815,6.38877518468752,5.91473587500429,9.98455568551791,7.55620744901589,10.3223385469999,6.79018577624441,9.05908618724824,11.2291913829999,8.25634614787701,7.66251161440608,10.5862594386632,9.02701869960519,10.7587626721158,9.38961632431282,8.93131729009949,7.00588207520125,10.30006901572,9.49913727497183,10.1587427272636,8.89378275050437,5.65567124754325,5.78981618295464,10.7710069593039,7.29177068149977,8.29475965201654,7.60320417979123,7.24936679041357,8.54137241640348,6.00691441824222,6.83576233191449,5.97476877258695,6.59242365185825,8.10960900422953,9.07395237278226,5.69477140968448,7.33067259088389,7.79047782568805,8.73635594597656,8.39761671782012,5.43501833539632,0,1,"263","IP"
"GSM158762.CEL.gz",9.02105895039267,7.86402044818208,6.39580578878277,8.17896247005131,9.08491753975595,10.9932645186946,9.63189637865818,10.1537410620645,10.2988482603182,9.51393239735029,10.7071159358028,9.17328425119911,8.89663206798233,9.57054758009602,10.8743372423824,10.1381524813004,10.2801951832093,14.3492324333542,14.2584898369123,8.42253657307318,10.4340444741865,5.95494314972268,10.8393835485704,10.1367188713973,5.0459723236481,5.17939845067807,9.62005084693864,9.80706611144818,7.98882436429478,11.2631294911409,8.09863713163557,10.2053192426624,4.96298352492161,11.3037491168091,6.72068409472064,9.4513060945091,9.0245584920324,8.61234162302644,13.0621309238324,5.10739752121932,8.60826697312511,10.7345152198624,10.5959367628252,10.5387457592024,11.4770380113377,7.80504270869777,7.6433554113681,6.52889149758907,5.87548720749067,5.64324155334681,7.90322671029882,9.63323488684707,10.6163786984385,10.0988034752129,9.94039306960936,8.01496258055297,6.97702375537162,10.1295322489588,7.56478060640279,10.7844178952572,9.31776337986272,12.4863134751346,11.9454766342737,10.8911025526421,9.83731999113406,10.9176834465634,9.29876921900385,7.37656602656309,8.04278196183226,10.0900502108718,10.2327091521804,12.513891569712,8.47339228973531,7.47160965231261,9.43885058903166,7.06890882778186,8.40221941043511,9.27582188193648,7.18163040852396,10.0838952582038,11.989988196442,5.59943905777333,11.3774485797038,5.68030195455009,9.14182871236959,6.98411617749306,7.20576656374199,0,1,"44","IP"
"GSM158767.CEL.gz",9.29145811118366,7.37915840242587,4.52711498874283,10.3769058262838,5.77488811772903,12.4188818370561,10.4899872170026,9.83464571895659,10.0720501528887,9.68477226869898,10.0644767173715,10.2881013167315,5.67978281689261,6.5207404461824,9.70786568370905,11.2704896404099,10.1314944402497,14.2001901051098,14.2452778105703,10.3739795388831,11.5331151318773,5.92190687241507,11.2560577376969,10.9506977347129,5.02321950081096,5.0291780172218,10.449411867532,10.5012155750842,4.89449891898313,12.3677725534398,7.83012971217696,11.6862135279892,5.22582931688218,13.1936433219152,6.88364779762733,8.08351482977279,6.70965870120089,8.07083772503525,13.417821079242,5.35447812628679,8.37975792091634,10.5126584811766,10.5202848297545,6.1087905288495,9.49622840409775,8.57516471849723,6.76359449285205,6.74183698732708,6.34333985804557,6.11744170392718,8.08706608334171,8.94092384838464,8.89327175963112,9.56024015341273,9.75151096505032,4.86662805842309,8.2135172075811,11.503408471206,8.25860035785218,11.4083038750766,8.52062638614521,8.8765363038679,11.8635389657826,10.378351498493,10.0017656292387,10.6002712454521,9.6808514359392,5.19679517479198,5.89511418905328,10.5115605311505,9.16932807615154,10.77176793795,7.33784375800186,6.25947437705268,10.0366996532584,8.21026785028079,8.09386616327489,8.63363919625377,6.30854683963378,7.0228483418731,9.68877261197225,5.57464638086407,11.6092685280089,4.94565139416281,9.99908997364831,9.72247931354584,9.52133831268753,0,1,"18","IP"
"GSM158768.CEL.gz",10.6059335199489,12.3296025122388,4.44066357120407,10.0313331785204,7.1983096751397,12.4899939651031,9.04070056639498,9.6081941585446,9.99011779574518,8.24480583581323,12.3920960067654,10.3115265067433,12.4615058800108,12.5678868464172,10.0993170853379,9.16710125377589,9.64289511260719,12.8496381848896,13.1088231091957,10.8871069853077,11.4461989230167,6.22471996188355,8.86329227466957,11.4573027338402,5.07855617261771,4.89974638403543,9.32019071885796,9.21765836719406,8.72442119056611,8.24329631854119,9.97593642358579,9.40409378970628,4.94392300942794,12.0976531255241,8.25199822472938,10.770968636388,7.99514932459203,8.15555301561746,13.1846429897647,5.20527605889822,12.9991848900366,11.8666243766085,11.6979310075374,9.48343169484955,9.9680244186955,7.24213551781649,10.0634924709527,5.92721499287285,5.69019321630943,5.96643385172109,8.25965258149528,11.9971531428129,7.56936296833689,10.5179587679604,11.2223070997505,8.54408494975489,8.79784861415925,11.4710087897934,9.59629308105829,10.7280441897681,13.4034558369936,11.0348240267537,8.76814311228728,11.3992237333179,10.7522359850159,12.0758121482438,10.6568993876224,5.36601317840554,7.23912775397695,11.2459392849041,6.17055185738719,11.5109155912577,8.68007879805339,8.67793417617608,8.70288036589217,9.86626530137298,9.39125772286193,8.58946713671273,11.8367646773052,10.7186251524339,10.4129034083299,5.64762795025529,11.8793238724992,7.06437429318893,9.74990345388596,9.99804256055841,8.42255707506927,0,1,"134","IP"
"GSM158769.CEL.gz",5.23026364229703,7.05293492806523,4.55369626590895,8.57321269394848,5.81936523475761,8.69719481100103,7.10044216654464,10.4607099532665,10.8766177392973,9.78065388877781,10.7729417050055,9.31594389873679,10.0382367474119,10.4322823520098,12.1451714014874,9.77186218423333,10.5216762028804,11.66761243875,12.0879687935554,9.3526487573936,8.45046200045128,5.97267232271967,10.9729317414368,9.63772106771427,4.96159932523194,5.02349797913159,9.54073110016967,10.2987319420724,7.12332043802949,5.38090734688526,9.13220391739015,10.9176021262388,5.17324405988081,12.2950637088684,9.03250180499601,11.6558294818959,6.87768816526555,8.53373235628684,12.6499313449023,5.4938342786163,7.77166634886948,7.84661262925306,8.29896872189212,9.2629748231031,10.0880281986549,9.30266627711512,8.18492823400134,8.01791701307404,7.1549355244013,6.02943396712268,10.4935811147255,11.3828226947005,11.7366674118121,11.3485018087891,11.7786775664344,8.18611595633509,5.58957215835428,9.95842668078585,10.2586274577296,6.97294001430272,7.86626018283783,9.86501455140121,12.6035421919496,10.9957570724189,10.6921929565372,10.0719998662063,8.87178964465171,8.31808918942789,6.44175004618241,10.4599316413091,8.78557117876352,11.6474967413353,8.57477345436881,9.0138031177572,10.162646074133,8.13109301799821,9.38288127958373,8.52417410148783,8.33009288243706,9.20139742123457,10.9749096634581,5.50163282440759,8.80986121525269,8.43954240941851,6.45034340129916,6.30865120766431,6.47526446622882,0,1,"239","IP"
