sample,X202887_s_at
GSM158718.CEL.gz,0.165459385851025
GSM158723.CEL.gz,0.23560522344613
GSM158736.CEL.gz,0.238865929111074
GSM158737.CEL.gz,0.213828110597392
GSM158740.CEL.gz,0.238080700136056
GSM158744.CEL.gz,0.203266674207546
GSM158751.CEL.gz,0.247460036867373
GSM158757.CEL.gz,0.281376238209611
GSM158758.CEL.gz,0.239219471136827
GSM158759.CEL.gz,0.235810207149766
GSM158761.CEL.gz,0.25918769212007
GSM158763.CEL.gz,0.26538580035401
GSM158764.CEL.gz,0.266023652685362
GSM158788.CEL.gz,0.259813832698485
GSM158792.CEL.gz,0.265459347822448
GSM158804.CEL.gz,0.269322283141374
GSM158807.CEL.gz,0.238787878201715
GSM158818.CEL.gz,0.236682510575535
GSM158822.CEL.gz,0.213402153186012
GSM158826.CEL.gz,0.259761018903095
GSM158828.CEL.gz,0.177822009703708
GSM158831.CEL.gz,0.183291806574075
GSM158846.CEL.gz,0.276206888138567
GSM158850.CEL.gz,0.255519257771848
GSM158857.CEL.gz,0.255951290611172
GSM158862.CEL.gz,0.235912421687744
GSM158866.CEL.gz,0.201927717249728
GSM158867.CEL.gz,0.207064809009327
GSM158868.CEL.gz,0.208108256193236
GSM158869.CEL.gz,0.260194201875327
GSM158879.CEL.gz,0.23267209428333
GSM158880.CEL.gz,0.22873075230939
GSM158882.CEL.gz,0.213897690801158
GSM158884.CEL.gz,0.211347664282377
GSM158891.CEL.gz,0.167629568653752
GSM158901.CEL.gz,0.256836547620515
GSM158910.CEL.gz,0.243901452825963
GSM158924.CEL.gz,0.188039099474432
GSM158928.CEL.gz,0.255113740191099
GSM158930.CEL.gz,0.253446636535759
GSM158935.CEL.gz,0.231929306912438
GSM158936.CEL.gz,0.232080479692076
GSM158937.CEL.gz,0.178529256761603
GSM158939.CEL.gz,0.227752401697344
GSM158943.CEL.gz,0.186231398176874
GSM158949.CEL.gz,0.233157220614519
GSM158956.CEL.gz,0.215985958562949
GSM158964.CEL.gz,0.244746179089536
GSM158979.CEL.gz,0.241013605456254
GSM158983.CEL.gz,0.241578604284483
GSM158994.CEL.gz,0.185815330147204
GSM159003.CEL.gz,0.276092625840714
GSM159007.CEL.gz,0.252481622389696
GSM159011.CEL.gz,0.240084366629371
GSM159016.CEL.gz,0.2026633241043
GSM159018.CEL.gz,0.218744684537373
GSM159019.CEL.gz,0.228327695110885
GSM159024.CEL.gz,0.274722178943446
GSM159028.CEL.gz,0.232387199341607
GSM159033.CEL.gz,0.24379111472158
GSM159040.CEL.gz,0.206910326394926
GSM159045.CEL.gz,0.206707251129964
GSM159051.CEL.gz,0.198062408018742
GSM159052.CEL.gz,0.190371997014846
GSM159056.CEL.gz,0.197138487938455
GSM159060.CEL.gz,0.237976824800564
GSM159062.CEL.gz,0.215189837710753
GSM159063.CEL.gz,0.243912189387782
GSM159069.CEL.gz,0.247569451626023
GSM159071.CEL.gz,0.245823796839637
GSM159080.CEL.gz,0.231568591960685
GSM159087.CEL.gz,0.205897400234769
GSM159099.CEL.gz,0.259155269541791
GSM159102.CEL.gz,0.223440641908105
GSM159103.CEL.gz,0.241731485472084
GSM159117.CEL.gz,0.221446843011512
GSM159121.CEL.gz,0.188052317393315
GSM159126.CEL.gz,0.236657400707774
GSM159131.CEL.gz,0.167126225131125
GSM159134.CEL.gz,0.177342285798436
GSM159139.CEL.gz,0.232492530987742
GSM159141.CEL.gz,0.197058964828714
