,X213241_at
0,7.67414241817863
1,9.00422016917189
2,10.6155788930393
3,8.9770981640786
4,7.13907386108724
5,9.01228445432096
6,10.2555987266844
7,8.37381476449925
8,7.42217119644095
9,9.13309170504442
10,10.0968604859984
11,8.77262483945365
12,7.52197579120077
13,8.69227796412967
14,8.81229538984598
15,9.62692828022345
16,10.7202198720319
17,9.78901556468478
18,8.82799828316806
19,9.29511768659231
20,10.2303712072452
21,6.73729923023701
22,9.46133507218262
23,9.63220037894247
24,9.31951047145473
25,7.38059289067917
26,9.37100794300319
27,8.405377412668
28,9.80372815404525
29,9.83591010189618
30,8.48518883446942
31,9.55297190439519
32,8.30409282852644
33,8.81032545822997
34,9.02712410975953
35,9.60643514095383
36,6.95510143926354
37,8.8151901856963
38,10.7125500978732
39,9.0469489599613
40,9.68940155974292
41,9.14385784923674
42,8.00655362306355
43,9.57367928589801
44,5.70891999474539
45,9.36760738551864
46,9.16273178887176
47,9.21299073807061
48,10.5251025793317
49,10.2043173192212
50,8.55692052988053
51,9.42137042495008
52,10.2158997448483
53,8.73207439360711
54,10.2640346094124
55,11.9289659318192
56,9.95126711370779
57,10.0940666410085
58,10.5877163416273
59,8.25270727377189
60,9.58190709248734
61,8.59774483207388
62,10.4123042482298
63,9.34600233804494
64,8.42441031309047
65,9.94711509578566
66,10.0440154623848
67,9.3231393648493
68,9.2852936187547
69,8.86392149383623
70,10.5746238873798
71,8.93090217979662
72,10.1369133347583
73,9.27553091408335
74,9.71425081690275
75,7.80459158919138
76,9.590349207802
77,9.98175196641473
78,10.2476301433654
79,8.08251612258923
80,8.14155867413407
81,8.8197472195655
82,8.9567311644131
83,10.215525193762
84,7.75438664895117
85,8.50668517955204
86,8.74352608439368
87,9.85449552637252
88,9.93410952813289
89,9.10559177087671
90,9.93859004806012
91,6.39042807192688
92,7.16882831193479
93,5.77644285617204
94,5.57740079256119
95,6.30852967689292
96,7.28949330048892
97,6.60593541348028
98,7.89992045529355
99,6.73022151490624
100,7.68733824357607
